crossing_id,river_osm_id,river_name,road_osm_id,road_type,is_pedestrian,elev_m
XNG-00001,756206304,NA,42507045,tertiary,FALSE,1107.5264892578125
XNG-00002,460592787,Oued Froha,73324369,secondary,FALSE,2022.8226318359375
XNG-00003,400119430,Oued et Tat,79670099,tertiary,FALSE,1859
XNG-00004,400125200,NA,79670099,tertiary,FALSE,1836.214599609375
XNG-00005,400125201,NA,79670099,tertiary,FALSE,1833.37158203125
XNG-00006,400125202,NA,79670099,tertiary,FALSE,1830.385498046875
XNG-00007,467543100,NA,90038610,secondary,FALSE,1993.1956787109375
XNG-00008,467543100,NA,90039244,secondary,FALSE,1992.24169921875
XNG-00009,467543100,NA,90041201,secondary,FALSE,1988.1669921875
XNG-00010,459344490,Oued Mina,92367313,primary,FALSE,2229.998291015625
XNG-00011,1221776076,NA,190996106,tertiary,FALSE,1093.64501953125
XNG-00012,1221776064,NA,191125746,tertiary,FALSE,1091.4964599609375
XNG-00013,467543100,NA,200000483,primary,FALSE,1945.709228515625
XNG-00014,244518796,NA,202799796,primary,FALSE,1050.119140625
XNG-00015,79657769,Oued Tifrit,207062969,secondary,FALSE,1610.22021484375
XNG-00016,244523459,NA,244157805,primary,FALSE,1054.0692138671875
XNG-00017,244523459,NA,244157819,primary,FALSE,1047.913818359375
XNG-00018,244523459,NA,244523623,primary,FALSE,1054.9921875
XNG-00019,459350872,NA,262787572,tertiary,FALSE,2140.4375
XNG-00020,274091059,Wassel,274091058,primary,FALSE,1346.4180908203125
XNG-00021,274091055,NA,274091062,primary,FALSE,1348.8995361328125
XNG-00022,328182910,Oued Maoussa,280963945,secondary,FALSE,2235.417236328125
XNG-00023,328182910,Oued Maoussa,280963947,unclassified,FALSE,2246.395751953125
XNG-00024,333704164,Oued Haddad,293120344,secondary,FALSE,NA
XNG-00025,1289685265,NA,293941256,unclassified,FALSE,1072.880859375
XNG-00026,1289685266,NA,293941256,unclassified,FALSE,1059.4873046875
XNG-00027,328182910,Oued Maoussa,304016059,secondary,FALSE,2203.927001953125
XNG-00028,244518796,NA,309991971,secondary,FALSE,1049
XNG-00029,467543100,NA,332557497,tertiary,FALSE,1988.1705322265625
XNG-00030,333704164,Oued Haddad,333377807,secondary,FALSE,2316.153564453125
XNG-00031,328182912,Oued Maoussa,333516228,unclassified,FALSE,2286.916748046875
